Name,Title,Company,Type,Industry,ICP Score,ICP Fit,Reasoning
Mark Johnson,"EVP, Asset Optimization",EDF Renewables North America,Speaker,"EDF Renewables is a perfect ICP fit, falling within the target Energy industry with a high-level executive (EVP) in a relevant operational department (Asset Optimization). The company size and geographic focus align exactly with the specified criteria for field service automation.",100,High,"EDF Renewables is a perfect ICP fit, falling within the target Energy industry with a high-level executive (EVP) in a relevant operational department (Asset Optimization). The company size and geographic focus align exactly with the specified criteria for field service automation."
Sasha Ilyukhin,"Senior Vice President, Global Processing Services and Services Solutions",Tetra Pak,Speaker,"Tetra Pak is a perfect ICP fit as a massive enterprise manufacturer with a dedicated services division. The presence of an SVP of Global Processing Services indicates a high-level focus on field service and aftermarket solutions, aligning exactly with the target persona and department criteria.",100,High,"Tetra Pak is a perfect ICP fit as a massive enterprise manufacturer with a dedicated services division. The presence of an SVP of Global Processing Services indicates a high-level focus on field service and aftermarket solutions, aligning exactly with the target persona and department criteria."
Yasir Sheikh,Global Head of Applications and Connected Services,Honeywell,Speaker,"Honeywell is a Tier 1 enterprise target that aligns perfectly across all ICP criteria, specifically in manufacturing, aerospace, and building automation. The presence of two high-level service and digital leaders as speakers indicates a strategic focus on service innovation, making them a prime candidate for field service AI solutions.",100,High,"Honeywell is a Tier 1 enterprise target that aligns perfectly across all ICP criteria, specifically in manufacturing, aerospace, and building automation. The presence of two high-level service and digital leaders as speakers indicates a strategic focus on service innovation, making them a prime candidate for field service AI solutions."
Emrah Ercan,"GM, Services",Honeywell,Speaker,"Honeywell is a Tier 1 enterprise target that aligns perfectly across all ICP criteria, specifically in manufacturing, aerospace, and building automation. The presence of two high-level service and digital leaders as speakers indicates a strategic focus on service innovation, making them a prime candidate for field service AI solutions.",100,High,"Honeywell is a Tier 1 enterprise target that aligns perfectly across all ICP criteria, specifically in manufacturing, aerospace, and building automation. The presence of two high-level service and digital leaders as speakers indicates a strategic focus on service innovation, making them a prime candidate for field service AI solutions."
Shawn Moore,"VP, Global Field Services",Bell Techlogix,Speaker,"Bell Techlogix is a perfect match as they operate a large-scale field service organization within the IT sector, and the lead contact is a VP-level executive specifically over Global Field Services. The company exceeds the employee threshold and the presence of a high-level speaker confirms their strategic relevance.",100,High,"Bell Techlogix is a perfect match as they operate a large-scale field service organization within the IT sector, and the lead contact is a VP-level executive specifically over Global Field Services. The company exceeds the employee threshold and the presence of a high-level speaker confirms their strategic relevance."
David Mueller,"Vice President, Global Service",Hach,Speaker,"Hach is a perfect ICP match, operating as a large-scale manufacturer of industrial analytical instruments with a significant global field service footprint. The presence of a VP of Global Service as a speaker signifies both high-level authority and a strategic focus on service operations.",100,High,"Hach is a perfect ICP match, operating as a large-scale manufacturer of industrial analytical instruments with a significant global field service footprint. The presence of a VP of Global Service as a speaker signifies both high-level authority and a strategic focus on service operations."
Baha Tevek,"Global VP, Applications",Mitsubishi Power,Speaker,"Mitsubishi Power is a major enterprise in the energy sector with a significant focus on maintenance services, aligning perfectly with industry and size criteria. The speaker is a high-ranking Global VP in the Applications/Technology department, which is a primary decision-making hub for AI and automation software.",100,High,"Mitsubishi Power is a major enterprise in the energy sector with a significant focus on maintenance services, aligning perfectly with industry and size criteria. The speaker is a high-ranking Global VP in the Applications/Technology department, which is a primary decision-making hub for AI and automation software."
Brandon Simon,Aftermarket Sales and Field Support Director,Crown Equipment Corp,Speaker,"Crown Equipment is a perfect ICP match, operating as an enterprise-scale manufacturer with a significant field service and aftermarket operation. The contact is a Director-level speaker in the Field Support department, representing the primary target persona for field service AI automation.",100,High,"Crown Equipment is a perfect ICP match, operating as an enterprise-scale manufacturer with a significant field service and aftermarket operation. The contact is a Director-level speaker in the Field Support department, representing the primary target persona for field service AI automation."
Ben Bergman,"Director, Customer Service",Crown Equipment,Speaker,"Crown Equipment is a premier fit, operating in the target manufacturing and industrial equipment sectors with a massive enterprise footprint. The presence of a Director from the Customer Service department as a speaker demonstrates perfect alignment with field service automation personas.",100,High,"Crown Equipment is a premier fit, operating in the target manufacturing and industrial equipment sectors with a massive enterprise footprint. The presence of a Director from the Customer Service department as a speaker demonstrates perfect alignment with field service automation personas."
Ewan Stewart,"President, Mechanical",Marsden Services,Speaker,Marsden Services perfectly aligns with the ICP as an enterprise-scale field service provider specializing in mechanical and building maintenance across the USA. The presence of a President-level speaker from the Mechanical division represents a high-intent executive stakeholder within a core target department.,100,High,Marsden Services perfectly aligns with the ICP as an enterprise-scale field service provider specializing in mechanical and building maintenance across the USA. The presence of a President-level speaker from the Mechanical division represents a high-intent executive stakeholder within a core target department.
Rakesh Kumar,President,Hsg Laser,Speaker,HSG Laser is a perfect industry match in manufacturing with an employee count well above the minimum threshold. The presence of the President as a speaker indicates high-level decision-making authority for field service automation across their global operations.,95,High,HSG Laser is a perfect industry match in manufacturing with an employee count well above the minimum threshold. The presence of the President as a speaker indicates high-level decision-making authority for field service automation across their global operations.
Mark Crook,"Senior Vice President, Energy Services",HomeServe,Speaker,"HomeServe is a perfect ICP match as it operates a massive enterprise field service and HVAC network, aligning with multiple target industries. The presence of a Senior Vice President in an Energy Services (Service Operations) role provides a high-level entry point within a target department.",100,High,"HomeServe is a perfect ICP match as it operates a massive enterprise field service and HVAC network, aligning with multiple target industries. The presence of a Senior Vice President in an Energy Services (Service Operations) role provides a high-level entry point within a target department."
Salvador Accardo,"SVP, Business Development",Exponential Power,Speaker,"Exponential Power is a high-fit industry match as a provider of critical field services for industrial power systems, and the contact holds a target executive title (SVP). However, the company size is below the 500-employee minimum threshold and the specific department (Business Development) is not among the primary targets.",65,Medium,"Exponential Power is a high-fit industry match as a provider of critical field services for industrial power systems, and the contact holds a target executive title (SVP). However, the company size is below the 500-employee minimum threshold and the specific department (Business Development) is not among the primary targets."
Haroon Abbu,"SVP, Digital Technology & Data Analytics",Bell And Howell,Speaker,"Bell and Howell is an ideal candidate as they operate directly in the industrial automation and field service sectors with over 1,000 employees. The speaker's role as SVP of Digital Technology and Data Analytics perfectly aligns with the target persona for adopting field service AI and automation.",100,High,"Bell and Howell is an ideal candidate as they operate directly in the industrial automation and field service sectors with over 1,000 employees. The speaker's role as SVP of Digital Technology and Data Analytics perfectly aligns with the target persona for adopting field service AI and automation."
Michelle Vaccarello,Vice President for North America Services,Diebold Nixdorf,Speaker,"Diebold Nixdorf is a perfect ICP fit as it manages a massive global field service workforce for ATM and POS maintenance, aligning with the Industrial Equipment and Field Service categories. The presence of a North American VP of Services as a speaker provides direct access to a high-level decision-maker in a target department and geography.",100,High,"Diebold Nixdorf is a perfect ICP fit as it manages a massive global field service workforce for ATM and POS maintenance, aligning with the Industrial Equipment and Field Service categories. The presence of a North American VP of Services as a speaker provides direct access to a high-level decision-maker in a target department and geography."
Greg Parker,"VP, Americas, Life Cycle Solutions",Johnson Controls,Speaker,"Johnson Controls is a premier target for field service AI, operating directly in the HVAC and Building Automation sectors with a massive enterprise scale. The presence of two VPs specifically focused on Service Operations and Life Cycle Solutions indicates a perfect alignment with the target buyer persona and department.",100,High,"Johnson Controls is a premier target for field service AI, operating directly in the HVAC and Building Automation sectors with a massive enterprise scale. The presence of two VPs specifically focused on Service Operations and Life Cycle Solutions indicates a perfect alignment with the target buyer persona and department."
Buddy Saucier,"VP, HVAC & Controls Service Operations BSNA",Johnson Controls,Speaker,"Johnson Controls is a premier target for field service AI, operating directly in the HVAC and Building Automation sectors with a massive enterprise scale. The presence of two VPs specifically focused on Service Operations and Life Cycle Solutions indicates a perfect alignment with the target buyer persona and department.",100,High,"Johnson Controls is a premier target for field service AI, operating directly in the HVAC and Building Automation sectors with a massive enterprise scale. The presence of two VPs specifically focused on Service Operations and Life Cycle Solutions indicates a perfect alignment with the target buyer persona and department."
Eleezeh Safarians,"Vice President, Americas Service & Support",Illumina,Speaker,"Illumina is a premier manufacturer of complex genomic sequencing hardware, which aligns perfectly with medical device field service needs. The presence of a VP of Service & Support at a massive enterprise scale makes this a tier-one target for automation.",100,High,"Illumina is a premier manufacturer of complex genomic sequencing hardware, which aligns perfectly with medical device field service needs. The presence of a VP of Service & Support at a massive enterprise scale makes this a tier-one target for automation."
Anne Emberson,Global Vice President Digital,Ecolab,Speaker,Ecolab is a premier fit due to its massive global field workforce and alignment with target sectors like Energy and Healthcare. The presence of VP-level speakers from both Digital and Operations departments indicates a mature buyer persona for field service AI and automation solutions.,100,High,Ecolab is a premier fit due to its massive global field workforce and alignment with target sectors like Energy and Healthcare. The presence of VP-level speakers from both Digital and Operations departments indicates a mature buyer persona for field service AI and automation solutions.
Jacob Kulzer,"Vice President, Operations, North America Pest Elimination",Ecolab,Speaker,Ecolab is a premier fit due to its massive global field workforce and alignment with target sectors like Energy and Healthcare. The presence of VP-level speakers from both Digital and Operations departments indicates a mature buyer persona for field service AI and automation solutions.,100,High,Ecolab is a premier fit due to its massive global field workforce and alignment with target sectors like Energy and Healthcare. The presence of VP-level speakers from both Digital and Operations departments indicates a mature buyer persona for field service AI and automation solutions.
Charles Hughes,"VP, Field Services",Telaid,Speaker,"Telaid is a strong match because the VP of Field Services is a speaker, indicating high-level engagement in a primary target department and industry. Although the company size of 300 is below the 500-employee threshold, the executive title and service-heavy business model align perfectly with field service automation needs.",85,High,"Telaid is a strong match because the VP of Field Services is a speaker, indicating high-level engagement in a primary target department and industry. Although the company size of 300 is below the 500-employee threshold, the executive title and service-heavy business model align perfectly with field service automation needs."
David Cardenas,"VP, Americas Field Services",NCE Atleos,Speaker,"NCR Atleos is a premier example of a field service-intensive business, managing a vast network of physical ATM hardware that requires constant maintenance and automation. The presence of a VP-level speaker specifically within the Field Services department makes this an ideal enterprise-scale prospect.",100,High,"NCR Atleos is a premier example of a field service-intensive business, managing a vast network of physical ATM hardware that requires constant maintenance and automation. The presence of a VP-level speaker specifically within the Field Services department makes this an ideal enterprise-scale prospect."
Dr. Lisa Ferlita,"VP, Service, Americas",Oxford Instruments,Speaker,"Oxford Instruments is a high-tech manufacturing firm that perfectly aligns with the target industry, and the VP of Service for the Americas provides a direct match for the target title and department. With 2,000 employees and a featured speaker at the event, they represent a prime candidate for field service automation solutions.",100,High,"Oxford Instruments is a high-tech manufacturing firm that perfectly aligns with the target industry, and the VP of Service for the Americas provides a direct match for the target title and department. With 2,000 employees and a featured speaker at the event, they represent a prime candidate for field service automation solutions."
Chris Dickerson,"VP, Service Planning & Logistics",Nokia,Speaker,Nokia is a direct industry match with a massive enterprise footprint that far exceeds the minimum size requirement. The presence of a VP-level speaker specifically in Service Planning and Logistics represents a perfect departmental and persona alignment for field service automation.,100,High,Nokia is a direct industry match with a massive enterprise footprint that far exceeds the minimum size requirement. The presence of a VP-level speaker specifically in Service Planning and Logistics represents a perfect departmental and persona alignment for field service automation.
Ira Busman,"VP, Technical Services & Solutions",Okuma America Corporation,Speaker,"Okuma America is a direct industry match with a high-level VP from a relevant technical service department speaking at the event. Although the North American affiliate size (300) falls below the 500-employee threshold, the company's role as a major service provider for CNC technology makes it a high-quality prospect for field service automation.",85,High,"Okuma America is a direct industry match with a high-level VP from a relevant technical service department speaking at the event. Although the North American affiliate size (300) falls below the 500-employee threshold, the company's role as a major service provider for CNC technology makes it a high-quality prospect for field service automation."
Rajib Bora,"VP, Field Services",Freudenberg e-Power Systems,Speaker,"Freudenberg e-Power Systems is a perfect match, operating in the target industrial manufacturing and energy sectors with a company size that meets the minimum threshold. The primary contact is a VP of Field Services who is also a conference speaker, indicating a high-authority decision-maker actively engaged in industry discourse.",100,High,"Freudenberg e-Power Systems is a perfect match, operating in the target industrial manufacturing and energy sectors with a company size that meets the minimum threshold. The primary contact is a VP of Field Services who is also a conference speaker, indicating a high-authority decision-maker actively engaged in industry discourse."
Bryan Horne,"VP, Business and IT Transformation",USIC,Speaker,"USIC is a massive enterprise in the Utilities and Field Service sectors with 12,000 employees, exceeding size requirements. The contacts hold ideal VP and Director titles within target departments (Field Service and IT), and their status as conference speakers indicates high strategic alignment and authority.",100,High,"USIC is a massive enterprise in the Utilities and Field Service sectors with 12,000 employees, exceeding size requirements. The contacts hold ideal VP and Director titles within target departments (Field Service and IT), and their status as conference speakers indicates high strategic alignment and authority."
Steven Bolton,President,LiquiServe LLC,Speaker,"LiquiServe is a perfect industry fit within field service and commercial equipment maintenance, and the President is a target decision-maker and featured speaker. The company fails to meet the minimum size requirement of 500 employees, but the high-level executive engagement and industry alignment maintain a high fit score.",85,High,"LiquiServe is a perfect industry fit within field service and commercial equipment maintenance, and the President is a target decision-maker and featured speaker. The company fails to meet the minimum size requirement of 500 employees, but the high-level executive engagement and industry alignment maintain a high fit score."
James Mylett,Chief Executive Officer,Smart Care,Speaker,"Smart Care is a perfect ICP fit as a large-scale field service provider with 2,000 employees, aligning with target industry and size requirements. The presence of the CEO (James Mylett) as a speaker provides a maximum title match and the speaker bonus.",100,High,"Smart Care is a perfect ICP fit as a large-scale field service provider with 2,000 employees, aligning with target industry and size requirements. The presence of the CEO (James Mylett) as a speaker provides a maximum title match and the speaker bonus."
Dave Elario,CEO,EMSAR,Speaker,"EMSAR is a perfect ICP match as an independent service organization (ISO) specializing in medical and mission-critical equipment maintenance. With C-level representation as speakers and a company size exceeding the 500-employee threshold, they are a primary target for field service AI and automation solutions.",100,High,"EMSAR is a perfect ICP match as an independent service organization (ISO) specializing in medical and mission-critical equipment maintenance. With C-level representation as speakers and a company size exceeding the 500-employee threshold, they are a primary target for field service AI and automation solutions."
Mark Hermes,Chief Commercial Officer,EMSAR,Speaker,"EMSAR is a perfect ICP match as an independent service organization (ISO) specializing in medical and mission-critical equipment maintenance. With C-level representation as speakers and a company size exceeding the 500-employee threshold, they are a primary target for field service AI and automation solutions.",100,High,"EMSAR is a perfect ICP match as an independent service organization (ISO) specializing in medical and mission-critical equipment maintenance. With C-level representation as speakers and a company size exceeding the 500-employee threshold, they are a primary target for field service AI and automation solutions."
Alex Sender,"Vice President & General Manager, Global Service",Smith & Nephew,Speaker,"Smith & Nephew is a perfect ICP fit, representing a large-scale enterprise in the medical technology sector with significant field service operations. The engagement of a Vice President & General Manager of Global Service as a speaker indicates high strategic value and decision-making authority in the target department.",100,High,"Smith & Nephew is a perfect ICP fit, representing a large-scale enterprise in the medical technology sector with significant field service operations. The engagement of a Vice President & General Manager of Global Service as a speaker indicates high strategic value and decision-making authority in the target department."
Stefan Jockusch,"VP, Service Digital Solutions and Analytics",KLA,Speaker,"KLA is a perfect ICP match as a large-scale industrial manufacturer with an executive speaker whose specific title (VP, Service Digital Solutions) aligns directly with field service automation. The company's size and industry focus on complex equipment maintenance make it a high-priority target for AI service solutions.",100,High,"KLA is a perfect ICP match as a large-scale industrial manufacturer with an executive speaker whose specific title (VP, Service Digital Solutions) aligns directly with field service automation. The company's size and industry focus on complex equipment maintenance make it a high-priority target for AI service solutions."
Megan Schlam,"VP, U.S. Services Execution",Schneider Electric,Speaker,"Schneider Electric is a perfect ICP match, operating in core target industries like Industrial/Building Automation and Energy with a massive enterprise footprint. The engagement from high-level VP and Director roles within Service Operations and Execution specifically aligns with the target departments and decision-maker personas.",100,High,"Schneider Electric is a perfect ICP match, operating in core target industries like Industrial/Building Automation and Energy with a massive enterprise footprint. The engagement from high-level VP and Director roles within Service Operations and Execution specifically aligns with the target departments and decision-maker personas."
Joe Lang,"VP, Service Technology",Comfort Systems USA,Speaker,"Comfort Systems USA is a perfect ICP match as a large-scale enterprise in the HVAC/MEP sector with a VP-level lead specifically focused on Service Technology. Given their massive field workforce of over 15,000 employees, they are a primary target for field service AI and automation tools.",100,High,"Comfort Systems USA is a perfect ICP match as a large-scale enterprise in the HVAC/MEP sector with a VP-level lead specifically focused on Service Technology. Given their massive field workforce of over 15,000 employees, they are a primary target for field service AI and automation tools."
Stephanie Peters,VP & General Manager,ITW Food Equipment Group,Speaker,"ITW Food Equipment Group is a Tier-1 target as a massive industrial manufacturer with a heavy reliance on field service operations (e.g., Hobart Service). The speaker holds a high-level executive title with P&L and operational responsibility, perfectly aligning with all ICP criteria.",100,High,"ITW Food Equipment Group is a Tier-1 target as a massive industrial manufacturer with a heavy reliance on field service operations (e.g., Hobart Service). The speaker holds a high-level executive title with P&L and operational responsibility, perfectly aligning with all ICP criteria."
Bruce Nelson,"VP, Strategic Initiatives",HYTEC,Speaker,"The company operates in a relevant technical field service niche and the lead holds an ideal VP title with a speaker bonus. However, the company size of 120 is substantially below the target minimum threshold of 500 employees, preventing a high-fit rating.",73,Medium,"The company operates in a relevant technical field service niche and the lead holds an ideal VP title with a speaker bonus. However, the company size of 120 is substantially below the target minimum threshold of 500 employees, preventing a high-fit rating."
David Sarazen,Customer Service Vice President,Multivac,Speaker,"Multivac is a perfect ICP match, representing a large-scale industrial manufacturer with executive leadership specifically focused on service and customer support. The presence of two high-level speakers from relevant departments indicates a strong strategic alignment and high potential for field service automation solutions.",100,High,"Multivac is a perfect ICP match, representing a large-scale industrial manufacturer with executive leadership specifically focused on service and customer support. The presence of two high-level speakers from relevant departments indicates a strong strategic alignment and high potential for field service automation solutions."
Brian Key,"Director, Service Products",Multivac,Speaker,"Multivac is a perfect ICP match, representing a large-scale industrial manufacturer with executive leadership specifically focused on service and customer support. The presence of two high-level speakers from relevant departments indicates a strong strategic alignment and high potential for field service automation solutions.",100,High,"Multivac is a perfect ICP match, representing a large-scale industrial manufacturer with executive leadership specifically focused on service and customer support. The presence of two high-level speakers from relevant departments indicates a strong strategic alignment and high potential for field service automation solutions."
Nick Cribb,President & CEO,Sam Service,Speaker,"The company is a perfect industry match within Field Service and HVAC, and the CEO's participation as a speaker provides high-value engagement potential. Although the company size of 80 is significantly below the 500-employee threshold, the title and departmental alignment are ideal for the specified profile.",85,High,"The company is a perfect industry match within Field Service and HVAC, and the CEO's participation as a speaker provides high-value engagement potential. Although the company size of 80 is significantly below the 500-employee threshold, the title and departmental alignment are ideal for the specified profile."
Ryan Wilson,"VP, Service",DSL Ltd.,Speaker,"DSL Ltd. is a strong match for the Field Service industry and geography, and the lead is a high-priority decision-maker (VP of Service) who participated as a speaker. The score is only tempered by the company size being below the 500-employee threshold specified in the ICP.",85,High,"DSL Ltd. is a strong match for the Field Service industry and geography, and the lead is a high-priority decision-maker (VP of Service) who participated as a speaker. The score is only tempered by the company size being below the 500-employee threshold specified in the ICP."
Rob Cartia,"Vice President, ProMach Business Process & Corporate Technology Leader",ProMach,Speaker,"ProMach is a major global player in industrial packaging machinery, fitting perfectly within the target Manufacturing and Industrial Equipment sectors. The speaker holds a high-level VP title in Technology and Business Process, which are primary target departments for field service automation, and the company size is well above the 500-employee minimum.",100,High,"ProMach is a major global player in industrial packaging machinery, fitting perfectly within the target Manufacturing and Industrial Equipment sectors. The speaker holds a high-level VP title in Technology and Business Process, which are primary target departments for field service automation, and the company size is well above the 500-employee minimum."
Karen Malleret,"VP, Zone Americas Service Execution",Siemens Digital Industries Automation,Speaker,"Siemens Digital Industries Automation is a premier enterprise target that perfectly matches the industry, size, and geographic criteria. With three high-level speakers in service execution and technical support, the company demonstrates deep alignment with field service automation and digital transformation needs.",100,High,"Siemens Digital Industries Automation is a premier enterprise target that perfectly matches the industry, size, and geographic criteria. With three high-level speakers in service execution and technical support, the company demonstrates deep alignment with field service automation and digital transformation needs."
Ren Rice,"Director, Tech Support US",Siemens Digital Industries Automation,Speaker,"Siemens Digital Industries Automation is a premier enterprise target that perfectly matches the industry, size, and geographic criteria. With three high-level speakers in service execution and technical support, the company demonstrates deep alignment with field service automation and digital transformation needs.",100,High,"Siemens Digital Industries Automation is a premier enterprise target that perfectly matches the industry, size, and geographic criteria. With three high-level speakers in service execution and technical support, the company demonstrates deep alignment with field service automation and digital transformation needs."
Karry Kirchner,"Director, Business Excellence US",Siemens Digital Industries Automation,Speaker,"Siemens Digital Industries Automation is a premier enterprise target that perfectly matches the industry, size, and geographic criteria. With three high-level speakers in service execution and technical support, the company demonstrates deep alignment with field service automation and digital transformation needs.",100,High,"Siemens Digital Industries Automation is a premier enterprise target that perfectly matches the industry, size, and geographic criteria. With three high-level speakers in service execution and technical support, the company demonstrates deep alignment with field service automation and digital transformation needs."
Gail Norris,Director,Siemens,Speaker,"Siemens is an ideal enterprise-scale match within the industrial automation and energy sectors. The prospect holds a target leadership title and is a speaker, indicating high influence, while the company's massive field service and infrastructure operations represent a primary use case for field service automation.",95,High,"Siemens is an ideal enterprise-scale match within the industrial automation and energy sectors. The prospect holds a target leadership title and is a speaker, indicating high influence, while the company's massive field service and infrastructure operations represent a primary use case for field service automation."
Anthony Bacak,Head of North American Instrumentation Service,ABB,Speaker,"ABB is a top-tier fit, hitting all criteria including a target enterprise size and a direct industry match in Industrial Automation. The presence of a 'Head of' speaker in a North American Service department makes this a high-priority prospect for field service AI.",100,High,"ABB is a top-tier fit, hitting all criteria including a target enterprise size and a direct industry match in Industrial Automation. The presence of a 'Head of' speaker in a North American Service department makes this a high-priority prospect for field service AI."
Edison Rocha,Head of Customer Experience and Strategy NA,JBT Marel,Speaker,"JBT Marel is an enterprise-scale industrial equipment manufacturer with a global field service footprint for its specialized machinery. The lead holds a high-level North American leadership role in Customer Experience, which is a key department for implementing service-focused AI and automation solutions.",100,High,"JBT Marel is an enterprise-scale industrial equipment manufacturer with a global field service footprint for its specialized machinery. The lead holds a high-level North American leadership role in Customer Experience, which is a key department for implementing service-focused AI and automation solutions."
Greg Fortunato,Head of Business Development,EchoStar Corporation,Speaker,"EchoStar is a major enterprise in the Telecommunications sector with massive field operations (via DISH), aligning perfectly with field service AI needs. Although 'Business Development' is not a specifically targeted department, the speaker's 'Head of' seniority and the company's scale and industry profile result in a high ICP fit.",80,High,"EchoStar is a major enterprise in the Telecommunications sector with massive field operations (via DISH), aligning perfectly with field service AI needs. Although 'Business Development' is not a specifically targeted department, the speaker's 'Head of' seniority and the company's scale and industry profile result in a high ICP fit."
Michael Spada,Head of FinTech Operations,IGT,Speaker,"IGT manufactures and maintains a global network of physical gaming and lottery terminals, placing them squarely within the Field Service and Industrial Equipment sector. The company meets the enterprise size criteria, and the lead is a high-level operations executive who was a speaker at the source event.",95,High,"IGT manufactures and maintains a global network of physical gaming and lottery terminals, placing them squarely within the Field Service and Industrial Equipment sector. The company meets the enterprise size criteria, and the lead is a high-level operations executive who was a speaker at the source event."
